round,round_win,player_economy,econ_effectiveness
1,True,10797,0.7278190847741474
2,True,6824,0.6394069044335247
3,False,2394,0.3266716850648162
4,False,2968,0.1788021423774927
5,True,13636,0.7366673835382792
6,False,3168,0.2285377789850669
7,True,8419,0.779427663488536
8,False,4165,0.4700937824058127
9,True,8981,0.7731086333040972
10,False,2763,0.3512154811643426
11,False,3358,0.1818412997703594
12,False,2796,0.2594853083805198
13,True,4100,0.5169008911101696
14,True,5760,0.5712943603096519
15,True,8266,0.7509573888707876
1,False,3170,0.2179256545477845
2,False,3101,0.2743936142435537
3,True,4094,0.6402174054893373
4,True,4851,0.5404548104136351
5,False,2302,0.2859878971074091
6,False,2496,0.1853363521064418
7,False,2349,0.2021781811590995
8,False,2384,0.2736203138940188
9,True,14632,0.8242058014267982
10,True,4156,0.567780667439283
11,False,2622,0.2343470984738422
12,True,13812,0.7499645702711677
13,False,2545,0.1874796133015141
14,True,8735,0.7802257663177683
15,True,14324,0.7941166531161704
16,False,2003,0.2273954833583459
17,False,2946,0.2264978926120249
18,False,2519,0.2632939114826024
19,True,9654,0.7281640131979702
1,True,4026,0.5466933692687089
2,False,2941,0.3549860894583257
3,True,4376,0.5376487149627002
4,False,2561,0.2320829923989389
5,True,13530,0.717622909718242
6,True,7560,0.7872095985749968
7,True,9820,0.7409387913390949
8,False,2131,0.2175313480839287
9,True,8762,0.8160652016136506
10,True,4712,0.6209801502256819
11,True,3970,0.5199788217130648
12,True,10477,0.6566730024319691
13,False,1996,0.3003756844918461
14,False,2657,0.2157685087119998
15,False,2188,0.2895312799581384
16,False,2620,0.1514948091144082
17,True,13325,0.7946298669149655
18,True,10345,0.689441403535961
1,True,12730,0.7865382059533262
2,True,8876,0.7507136533918217
3,False,2537,0.2023030290301677
4,True,13030,0.729648184353661
5,True,4708,0.5843159228478351
6,True,10536,0.7552947226557617
7,False,2134,0.2792206490236242
8,False,3205,0.3488220292257742
9,False,2315,0.1717879194144474
10,False,2966,0.3308606287484312
11,False,3383,0.2552177968761606
12,True,4482,0.5050607975838436
13,False,4065,0.4834843187130505
14,False,2987,0.2405439804611483
15,True,11481,0.796082505596223
16,True,5054,0.5436225439811233
1,False,1983,0.3255577465123673
2,True,8675,0.6774412154974221
3,False,2837,0.2493955526076972
4,True,9425,0.687380327779344
5,True,8594,0.7681815941312484
6,False,2395,0.294344369504865
7,True,8577,0.7289619103159474
8,False,2398,0.1197893071686432
9,False,2873,0.2599474073398247
10,True,10441,0.7718369275866754
11,True,4175,0.570214737748085
12,False,2533,0.3117891095911077
13,True,9263,0.6964473160175475
14,True,4953,0.5840108052725225
15,False,2919,0.3096253756238987
16,True,9124,0.6610706207996742
17,True,4791,0.5659825912959489
1,True,4116,0.5247910084496165
2,False,2364,0.2459238663449177
3,True,6240,0.7673838241769169
4,True,10171,0.7256385717943223
5,False,2014,0.2162145960419194
6,True,8663,0.7517076208744012
7,True,10709,0.6956377030568599
8,False,5046,0.4957087435557408
9,True,3817,0.5839686641478252
10,False,5826,0.4925602982420672
11,True,4419,0.5833156250454606
12,False,3121,0.2731295646426975
13,False,2363,0.1637096635604701
14,True,15545,0.7161217673832172
15,False,2831,0.3097054701523686
16,True,5813,0.500941723443016
17,False,2244,0.2267797868845306
18,False,1920,0.2731030446625948
19,False,3165,0.2891695254641298
20,True,7041,0.7374230556977752
1,True,6463,0.7201244902654179
2,False,2573,0.3211184930849254
3,False,3157,0.336944983189879
4,True,15640,0.7989429025390897
5,True,6914,0.7542659071282513
6,False,2934,0.2095867139179537
7,True,11290,0.7084777796721717
8,True,6355,0.7761257052632878
9,False,3418,0.2709199110444342
10,False,2105,0.3200799296473214
11,True,12396,0.782522504626807
12,False,3996,0.4748459849120091
13,False,2146,0.3025973808861459
14,False,2657,0.2000969686342793
15,True,13741,0.7308014364023824
16,True,11690,0.7625100103125847
17,True,4913,0.6497833744891983
18,False,2585,0.405495927800268
1,False,3050,0.2803361529568091
2,True,7752,0.7408401690639806
3,False,2703,0.2767252824240275
4,False,2028,0.2943827712936918
5,False,1927,0.2339666187221404
6,True,5038,0.6397605677956162
7,True,6823,0.7615035379595702
8,True,10988,0.7748871544545697
9,False,2083,0.2832962126027231
10,True,8056,0.7710793305307228
11,True,13610,0.7919470250234806
12,False,2590,0.2191373406726538
13,True,10692,0.7220849123026984
14,False,2520,0.1949922883514152
15,False,2583,0.2719750615310113
16,True,5728,0.5889468251756057
17,False,2046,0.2728886433075942
18,True,7720,0.8337246216673768
19,False,2001,0.2497201990585476
20,False,2017,0.2834370827796256
