match_id,round,player_economy,team_economy,type_of_buy,weapons,econ_effectiveness,round_end_reward,round_win
1,1,10797,53985,full,smgs,0.7278190847741474,2476,True
1,2,6824,34120,force,smgs,0.6394069044335247,3277,True
1,3,2394,9130,eco,mixed,0.3266716850648162,1504,False
1,4,2968,5490,eco,pistols,0.1788021423774927,3286,False
1,5,13636,68180,full,pistols,0.7366673835382792,3081,True
1,6,3168,15840,half,pistols,0.2285377789850669,1887,False
1,7,8419,42095,force,smgs,0.779427663488536,2073,True
1,8,4165,20825,half,smgs,0.4700937824058127,2318,False
1,9,8981,44905,force,mixed,0.7731086333040972,1702,True
1,10,2763,13815,half,pistols,0.3512154811643426,1565,False
1,11,3358,16790,half,mixed,0.1818412997703594,1480,False
1,12,2796,13980,half,mixed,0.2594853083805198,1945,False
1,13,4100,20500,half,mixed,0.5169008911101696,3394,True
1,14,5760,28800,force,rifles,0.5712943603096519,1880,True
1,15,8266,41330,force,pistols,0.7509573888707876,3369,True
2,1,3170,8165,eco,pistols,0.2179256545477845,1945,False
2,2,3101,15505,half,rifles,0.2743936142435537,2193,False
2,3,4094,20470,half,rifles,0.6402174054893373,1736,True
2,4,4851,24255,half,pistols,0.5404548104136351,3115,True
2,5,2302,11510,half,rifles,0.2859878971074091,2639,False
2,6,2496,6925,eco,mixed,0.1853363521064418,2426,False
2,7,2349,8110,eco,smgs,0.2021781811590995,3306,False
2,8,2384,5070,eco,mixed,0.2736203138940188,3376,False
2,9,14632,73160,full,pistols,0.8242058014267982,1666,True
2,10,4156,20780,half,rifles,0.567780667439283,2893,True
2,11,2622,13110,half,smgs,0.2343470984738422,2866,False
2,12,13812,69060,full,pistols,0.7499645702711677,3060,True
2,13,2545,8305,eco,rifles,0.1874796133015141,3253,False
2,14,8735,43675,force,smgs,0.7802257663177683,2298,True
2,15,14324,71620,full,smgs,0.7941166531161704,3355,True
2,16,2003,10015,half,rifles,0.2273954833583459,1903,False
2,17,2946,14730,half,smgs,0.2264978926120249,3068,False
2,18,2519,6625,eco,pistols,0.2632939114826024,1931,False
2,19,9654,48270,force,rifles,0.7281640131979702,1738,True
3,1,4026,20130,half,mixed,0.5466933692687089,1409,True
3,2,2941,6300,eco,pistols,0.3549860894583257,2742,False
3,3,4376,21880,half,pistols,0.5376487149627002,3343,True
3,4,2561,7745,eco,rifles,0.2320829923989389,3369,False
3,5,13530,67650,full,rifles,0.717622909718242,2187,True
3,6,7560,37800,force,smgs,0.7872095985749968,3451,True
3,7,9820,49100,force,pistols,0.7409387913390949,3033,True
3,8,2131,10655,half,smgs,0.2175313480839287,2015,False
3,9,8762,43810,force,pistols,0.8160652016136506,1742,True
3,10,4712,23560,half,pistols,0.6209801502256819,1503,True
3,11,3970,19850,half,mixed,0.5199788217130648,2602,True
3,12,10477,52385,full,pistols,0.6566730024319691,2720,True
3,13,1996,9980,eco,smgs,0.3003756844918461,3257,False
3,14,2657,7605,eco,smgs,0.2157685087119998,3300,False
3,15,2188,6075,eco,mixed,0.2895312799581384,1446,False
3,16,2620,6615,eco,smgs,0.1514948091144082,2193,False
3,17,13325,66625,full,rifles,0.7946298669149655,2149,True
3,18,10345,51725,full,mixed,0.689441403535961,2557,True
4,1,12730,63650,full,smgs,0.7865382059533262,1955,True
4,2,8876,44380,force,smgs,0.7507136533918217,3328,True
4,3,2537,5250,eco,rifles,0.2023030290301677,2769,False
4,4,13030,65150,full,mixed,0.729648184353661,2535,True
4,5,4708,23540,half,rifles,0.5843159228478351,2859,True
4,6,10536,52680,full,mixed,0.7552947226557617,2074,True
4,7,2134,7085,eco,mixed,0.2792206490236242,2162,False
4,8,3205,16025,half,pistols,0.3488220292257742,1576,False
4,9,2315,6420,eco,smgs,0.1717879194144474,2892,False
4,10,2966,14830,half,smgs,0.3308606287484312,2486,False
4,11,3383,16915,half,pistols,0.2552177968761606,2389,False
4,12,4482,22410,half,rifles,0.5050607975838436,3100,True
4,13,4065,20325,half,pistols,0.4834843187130505,1593,False
4,14,2987,14935,half,smgs,0.2405439804611483,2324,False
4,15,11481,57405,full,smgs,0.796082505596223,1761,True
4,16,5054,25270,force,pistols,0.5436225439811233,2158,True
5,1,1983,9915,eco,pistols,0.3255577465123673,2477,False
5,2,8675,43375,force,pistols,0.6774412154974221,3535,True
5,3,2837,7255,eco,smgs,0.2493955526076972,2134,False
5,4,9425,47125,force,pistols,0.687380327779344,1681,True
5,5,8594,42970,force,pistols,0.7681815941312484,2306,True
5,6,2395,11975,half,rifles,0.294344369504865,2339,False
5,7,8577,42885,force,pistols,0.7289619103159474,2192,True
5,8,2398,8565,eco,smgs,0.1197893071686432,1920,False
5,9,2873,7755,eco,rifles,0.2599474073398247,2701,False
5,10,10441,52205,full,mixed,0.7718369275866754,2437,True
5,11,4175,20875,half,smgs,0.570214737748085,2333,True
